name,src_file,src_line,total_ns,counts
schedule{name=Update},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,34707913,1
system{name="firearm_user::hold::sync_hands_to_firearm"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,32914167,1
queue_submit{count=13},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_core_pipeline-0.19.0/src/schedule.rs,236,1111083,1
system{name="lod::scene::refresh::levels::produce::fill_lod_produce_cache<lod_avian::AvianLodSceneHostIndex<'_, '_>, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,547292,1
system{name="rigs::bone_map::build_bone_maps"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,333709,1
RenderContextState::apply{system=bevy_pbr::render::light::per_view_shadow_pass<false>},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,219375,1
system{name="lod::scene::refresh::levels::produce::produce_lod_refresh_levels_erased"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,209000,1
RenderContextState::apply{system=bevy_pbr::cluster::gpu::cluster_on_gpu},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,191708,1
system{name="rigs::pose::maintain_bind_pose"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,181958,1
system{name="crozon_character_motion::mailbox::apply_anim_mailbox"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,174334,1
RenderContextState::apply{system=bevy_core_pipeline::core_3d::main_opaque_pass_3d_node::main_opaque_pass_3d},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,122916,1
RenderContextState::apply{system=bevy_pbr::render::gpu_preprocess::unpack_bins},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,92917,1
RenderContextState::apply{system=bevy_core_pipeline::core_3d::main_transparent_pass_3d_node::main_transparent_pass_3d},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,80000,1
system{name="firing_range_playground::les_halles::draw_circulation_gizmos"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,75625,1
system{name="lod::scene::refresh::entities::refresh::refresh_lod_host_levels"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,59458,1
opaque_main_pass_3d,/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_core_pipeline-0.19.0/src/core_3d/main_opaque_pass_3d_node.rs,85,51833,1
RenderContextState::apply{system=bevy_ui_render::render_pass::ui_pass},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,36042,1
RenderContextState::apply{system=bevy_pbr::render::gpu_preprocess::main_build_indirect_parameters},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,34250,1
RenderContextState::apply{system=bevy_core_pipeline::upscaling::node::upscaling},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,31083,1
RenderContextState::apply{system=bevy_pbr::render::gpu_preprocess::early_prepass_build_indirect_parameters},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,29459,1
RenderContextState::apply{system=bevy_pbr::render::gpu_preprocess::early_gpu_preprocess},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,24708,1
RenderContextState::apply{system=bevy_pbr::render::gpu_preprocess::clear_indirect_parameters_metadata},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,16791,1
system{name="lod::scene::refresh::sync::chunk::begin::begin_chunk_lod_fulfill_erased"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,15375,1
system{name="bevy_core_pipeline::schedule::submit_pending_command_buffers"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,13667,1
system{name="lod::scene::refresh::sync::chunk::resume::cancel_unstarted_cull_for_desired_pending_roots_erased"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,13292,1
system{name="firearm_user::pose::pose_held_firearm"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,13042,1
present_frames,/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/mod.rs,93,11916,1
main_transparent_pass_3d,/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_core_pipeline-0.19.0/src/core_3d/main_transparent_pass_3d_node.rs,52,11833,1
system{name="bevy_ui_render::render_pass::ui_pass"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,11458,1
