name,src_file,src_line,total_ns,counts
system{name="bevy_render::view::window::prepare_windows"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,13033792,1
par_for_each{query="(bevy_ecs::entity::Entity, &bevy_camera::visibility::InheritedVisibility, &mut bevy_camera::visibility::ViewVisibility, core::option::Option<&bevy_camera::visibility::VisibilityClass>, core::option::Option<&bevy_camera::visibility::render_layers::RenderLayers>, core::option::Option<&bevy_camera::primitives::Aabb>, core::option::Option<&bevy_camera::primitives::Sphere>, &bevy_transform::components::global_transform::GlobalTransform, bevy_ecs::query::fetch::Has<bevy_camera::visibility::NoFrustumCulling>, bevy_ecs::query::fetch::Has<bevy_camera::visibility::range::VisibilityRange>)" filter="bevy_ecs::query::filter::Without<bevy_camera::visibility::NoCpuCulling>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/query/state.rs,297,7996376,33
schedule{name=PostUpdate},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,6286832,1
par_for_each{query="bevy_ecs::entity::Entity" filter="bevy_ecs::query::filter::Or<(bevy_ecs::query::filter::Changed<bevy_transform::components::transform::Transform>, bevy_ecs::query::filter::Changed<bevy_ecs::hierarchy::ChildOf>, bevy_ecs::query::filter::Added<bevy_transform::components::global_transform::GlobalTransform>)>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/query/state.rs,297,5754961,66
schedule{name=Update},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,2802505,1
par_for_each{query="(bevy_ecs::entity::Entity, bevy_ecs::change_detection::params::Ref<'_, bevy_transform::components::transform::Transform>, &bevy_ecs::hierarchy::Children)" filter="(bevy_ecs::query::filter::Without<bevy_ecs::hierarchy::ChildOf>, bevy_ecs::query::filter::With<avian3d::ancestor_marker::AncestorMarker<avian3d::collision::collider::backend::ColliderMarker>>)"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/query/state.rs,297,2317041,8
system{name="bevy_camera::visibility::visibility_propagate_system"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,2034541,1
schedule{name=FixedPostUpdate},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,1701249,1
par_for_each{query="(bevy_ecs::entity::Entity, &bevy_camera::visibility::ViewVisibility, &bevy_transform::components::global_transform::GlobalTransform, core::option::Option<&bevy_pbr::prepass::PreviousGlobalTransform>, core::option::Option<&bevy_pbr::lightmap::Lightmap>, core::option::Option<&bevy_camera::primitives::Aabb>, &bevy_mesh::components::Mesh3d, core::option::Option<&bevy_mesh::components::MeshTag>, (bevy_ecs::query::fetch::Has<bevy_camera::visibility::NoFrustumCulling>, bevy_ecs::query::fetch::Has<bevy_light::NotShadowReceiver>, bevy_ecs::query::fetch::Has<bevy_light::TransmittedShadowReceiver>, bevy_ecs::query::fetch::Has<bevy_light::NotShadowCaster>, bevy_ecs::query::fetch::Has<bevy_render::batching::NoAutomaticBatching>, bevy_ecs::query::fetch::Has<bevy_camera::visibility::NoCpuCulling>), core::option::Option<&bevy_camera::visibility::range::VisibilityRange>, core::option::Option<&bevy_camera::visibility::render_layers::RenderLayers>)" filter="bevy_ecs::query::filter::Or<(bevy_ecs::query::filter::Changed<bevy_camera::visibility::ViewVisibility>, bevy_ecs::query::filter::Changed<bevy_transform::components::global_transform::GlobalTransform>, bevy_ecs::query::filter::Changed<bevy_pbr::prepass::PreviousGlobalTransform>, bevy_ecs::query::filter::Changed<bevy_pbr::lightmap::Lightmap>, bevy_ecs::query::filter::Changed<bevy_camera::primitives::Aabb>, bevy_ecs::query::filter::Changed<bevy_mesh::components::Mesh3d>, bevy_ecs::query::filter::Changed<bevy_mesh::components::MeshTag>, bevy_ecs::query::filter::Or<(bevy_ecs::query::filter::Changed<bevy_camera::visibility::NoFrustumCulling>, bevy_ecs::query::filter::Changed<bevy_light::NotShadowReceiver>, bevy_ecs::query::filter::Changed<bevy_light::TransmittedShadowReceiver>, bevy_ecs::query::filter::Changed<bevy_light::NotShadowCaster>, bevy_ecs::query::filter::Changed<bevy_render::batching::NoAutomaticBatching>, bevy_ecs::query::filter::Changed<bevy_camera::visibility::NoCpuCulling>)>, bevy_ecs::query::filter::Changed<bevy_camera::visibility::range::VisibilityRange>, bevy_ecs::query::filter::Changed<bevy_mesh::skinning::SkinnedMesh>)>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/query/state.rs,297,1632835,11
multithreaded executor,/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/executor/multi_threaded.rs,395,1302368,1014
system{name="bevy_world_serialization::world_asset_spawner::world_instance_spawner_system"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1211444,1
par_for_each{query="&mut bevy_camera::visibility::ViewVisibility" filter="bevy_ecs::query::filter::Without<bevy_camera::visibility::NoCpuCulling>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/query/state.rs,297,777289,66
par_for_each{query="(bevy_ecs::entity::Entity, &bevy_camera::visibility::InheritedVisibility, core::option::Option<&bevy_camera::visibility::render_layers::RenderLayers>, core::option::Option<&bevy_camera::primitives::Aabb>, core::option::Option<&bevy_transform::components::global_transform::GlobalTransform>, bevy_ecs::query::fetch::Has<bevy_camera::visibility::range::VisibilityRange>, bevy_ecs::query::fetch::Has<bevy_camera::visibility::NoFrustumCulling>)" filter="(bevy_ecs::query::filter::Without<bevy_light::NotShadowCaster>, bevy_ecs::query::filter::Without<bevy_light::directional_light::DirectionalLight>, bevy_ecs::query::filter::Without<bevy_camera::visibility::NoCpuCulling>, bevy_ecs::query::filter::With<bevy_mesh::components::Mesh3d>)"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/query/state.rs,297,738707,7
schedule{name=ExtractSchedule},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,676083,1
system{name="avian3d::physics_transform::transform_to_position"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,399375,1
par_for_each{query="bevy_ecs::entity::Entity" filter="(bevy_ecs::query::filter::Or<(bevy_ecs::query::filter::Changed<bevy_mesh::components::Mesh3d>, bevy_asset::asset_changed::AssetChanged<bevy_mesh::components::Mesh3d>, bevy_ecs::query::filter::Changed<bevy_pbr::mesh_material::MeshMaterial3d<chico_vegetation_shaders::chico_leaf_material::ChicoLeafMaterial>>, bevy_asset::asset_changed::AssetChanged<bevy_pbr::mesh_material::MeshMaterial3d<chico_vegetation_shaders::chico_leaf_material::ChicoLeafMaterial>>)>, bevy_ecs::query::filter::With<bevy_pbr::mesh_material::MeshMaterial3d<chico_vegetation_shaders::chico_leaf_material::ChicoLeafMaterial>>)"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/query/state.rs,297,387208,6
par_for_each{query="(&bevy_mesh::components::Mesh3d, &mut bevy_camera::primitives::Aabb)" filter="(bevy_ecs::query::filter::Or<(bevy_asset::asset_changed::AssetChanged<bevy_mesh::components::Mesh3d>, bevy_ecs::query::filter::Changed<bevy_mesh::components::Mesh3d>)>, bevy_ecs::query::filter::Without<bevy_camera::visibility::NoFrustumCulling>, bevy_ecs::query::filter::Without<bevy_camera::visibility::NoAutoAabb>)"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/query/state.rs,297,386958,11
schedule{name=SpawnScene},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,370291,1
system{name="lod::scene::refresh::sync::chunk::drain::log_lod_chunk_drain_apply"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,363750,1
schedule{name=RenderGraph},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,349999,1
system{name="bevy_world_serialization::world_asset_spawner::world_instance_spawner"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,347583,1
system{name="bevy_render::render_resource::sparse_buffer_vec::update_sparse_buffers"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,305084,1
system_commands{name="lod::scene::refresh::sync::chunk::drain::drain_chunk_lod_fulfill"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,54,264001,1
system{name="material_ref::fulfill::invalidate_changed_material_ref_roots"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,257250,1
system{name="bevy_pbr::material::extract_mesh_materials<chico_vegetation_shaders::chico_leaf_material::ChicoLeafMaterial>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,246125,1
queue_submit{count=11},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_core_pipeline-0.19.0/src/schedule.rs,236,234416,1
system{name="material_ref::fulfill::restamp_material_ref_descendants_of_changed<chico_sbs_trees_playground::chico_material_lib::ChicoMaterialLib<'_>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,232667,1
par_for_each{query="(bevy_ecs::entity::Entity, bevy_ecs::change_detection::params::Ref<'_, avian3d::physics_transform::transform::Position>, bevy_ecs::change_detection::params::Ref<'_, avian3d::physics_transform::transform::Rotation>, &mut avian3d::collision::collider::ColliderAabb, &mut avian3d::collision::collider::EnlargedAabb, bevy_ecs::change_detection::params::Ref<'_, avian3d::collision::collider::parry::Collider>, core::option::Option<&avian3d::collision::collider::CollisionMargin>, &avian3d::collider_tree::proxy_key::ColliderTreeProxyKey)" filter="bevy_ecs::query::filter::Without<avian3d::collision::collider::ColliderDisabled>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/query/state.rs,297,224042,7
system{name="bevy_transform::systems::mark_dirty_trees"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,207708,2
schedule{name=Core3d},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,203999,1
schedule{name=PreUpdate},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,203123,1
