name,src_file,src_line,total_ns,counts
schedule{name=Update},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,17095329,1
system{name="lod::gen::runtime::generate::drain_lod_generate<chico_forests::bump_out::CanopyBumpOut, chico_forests::index::ForestIndex, chico_forests::generation::BumpOutLodChan, bevy_ecs::query::filter::With<lod::scene::refresh::viewer::LodViewer>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,9074833,1
system_commands{name="chico_sbs_trees_playground::stick_physics::sync_vegetation_stick_colliders<chico_vegetation_components::FlattenedComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<alloc::sync::Arc<chico_sbs_trees::braid_oak_tree::BraidOakTree>>>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,54,7299500,1
system_commands{name="chico_sbs_trees_playground::stick_physics::sync_vegetation_stick_colliders<chico_vegetation_components::FlattenedComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<alloc::sync::Arc<chico_sbs_trees::sopes_banyan::SopesBanyan>>>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,54,6386113,1
system_commands{name="chico_sbs_trees_playground::stick_physics::sync_vegetation_stick_colliders<chico_vegetation_components::FlattenedComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<alloc::sync::Arc<chico_sbs_trees::honu_banyan::HonuBanyan>>>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,54,5053399,1
system{name="avian3d::collider_tree::update::add_to_tree_on<bevy_ecs::lifecycle::Insert, (avian3d::collision::collider::parry::Collider, avian3d::collision::collider::collider_hierarchy::ColliderOf), bevy_ecs::query::filter::Without<avian3d::collision::collider::ColliderDisabled>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,4889776,3988
system_commands{name="chico_sbs_trees_playground::stick_physics::sync_vegetation_stick_colliders<chico_vegetation_components::FlattenedComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<alloc::sync::Arc<chico_sbs_trees::high_bush_shoots::HighBushShoots>>>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,54,3193948,1
system{name="lod::scene::refresh::sync::chunk::drain::drain_chunk_lod_fulfill"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1734945,1
system_commands{name="chico_sbs_trees_playground::stick_physics::sync_vegetation_stick_colliders<chico_vegetation_components::FlattenedComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<alloc::sync::Arc<chico_sbs_trees::jungle_storybook_tree::JungleStorybookTree>>>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,54,1696337,1
system{name="chico_sbs_trees_playground::stick_physics::sync_vegetation_stick_colliders<chico_vegetation_components::FlattenedComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<alloc::sync::Arc<chico_sbs_trees::tuft_patch::TuftPatch>>>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1639042,1
