name,src_file,src_line,total_ns,counts
schedule{name=Update},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,17641399630,1999
schedule{name=PostUpdate},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,17510147732,2000
schedule{name=Render},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,12427524995,2000
system{name="bevy_camera::visibility::visibility_propagate_system"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,6673637440,2000
queue_submit{count=10},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_core_pipeline-0.19.0/src/schedule.rs,236,2840125,1
system{name="bevy_render::batching::gpu_preprocessing::write_binned_instance_buffers<bevy_core_pipeline::core_3d::Opaque3d, bevy_pbr::render::mesh::MeshPipeline>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,4550730270,2000
system{name="rigs::bone_map::build_bone_maps"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,4272576404,2000
schedule{name=FixedPostUpdate},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,5753286773,3409
queue_submit{count=15},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_core_pipeline-0.19.0/src/schedule.rs,236,2923633185,1749
queue_submit{count=14},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_core_pipeline-0.19.0/src/schedule.rs,236,397005914,249
schedule{name=ExtractSchedule},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,2233548454,2000
system{name="lod::scene::refresh::cull_regions::cache::fill_lod_cull_produce_cache<lod_gimme::host::GimmeLodSceneHostIndex<'_>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1562695552,1999
system{name="lod::presentation::runtime::drain_lod_present_cull<chico_forests::bump_out::CanopyBumpOut, chico_forests::index::ForestIndex, richmond_developments_on_terrain_playground::development_bump_out::DevelopmentCanopyBumpOutPresenter<'_, '_>, chico_forests::generation::BumpOutLodChan>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1557349784,2000
system{name="bevy_pbr::render::gpu_preprocess::prepare_preprocess_bind_groups"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1395358614,2000
chico_grove_growth,maybraid/chico/forests/src/present.rs,146,179874544,259
system{name="material_ref::fulfill::restamp_material_ref_descendants_of_changed<maybraid_world::material_lib::WorldMaterialLib<'_>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1325982313,1999
schedule{name=RenderGraph},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,1319966301,2000
queue_submit{count=2},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_core_pipeline-0.19.0/src/schedule.rs,236,644959,1
schedule{name=Core3d},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,1254110225,1999
system{name="lod::scene::refresh::levels::produce::fill_lod_produce_cache<lod_gimme::host::GimmeLodSceneHostIndex<'_>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1222857616,1999
system{name="lod::presentation::runtime::drain_lod_present_cull<chico_forests::grove::ChicoGrove, chico_forests::index::ForestIndex, richmond_developments_on_terrain_playground::development_forest::DevelopmentForestPresenter<'_, '_>, chico_forests::generation::ForestLodChan>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1164568159,2000
system{name="bevy_render::render_resource::sparse_buffer_vec::update_sparse_buffers"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1143559877,2000
system{name="bevy_pbr::material::extract_mesh_materials<chico_vegetation_shaders::chico_leaf_material::ChicoLeafMaterial>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1114238782,2000
system{name="richmond_developments_on_terrain_playground::urbanization_stream::present_urbanization_padded_terrain"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1108884039,1999
RenderContextState::apply{system=bevy_core_pipeline::core_3d::main_opaque_pass_3d_node::main_opaque_pass_3d},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,1068702047,1999
schedule{name=SpawnScene},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,1035061247,2000
system{name="bevy_world_serialization::world_asset_spawner::world_instance_spawner"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,985718768,2000
system{name="bevy_world_serialization::world_asset_spawner::world_instance_spawner_system"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,962053899,2000
system{name="lod::scene::refresh::sync::cull::drain_lod_cull"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,892867157,2000
system{name="material_ref::fulfill::invalidate_changed_material_ref_roots"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,887167141,1999
par_for_each{query="(bevy_ecs::entity::Entity, &bevy_camera::visibility::ViewVisibility, &bevy_transform::components::global_transform::GlobalTransform, core::option::Option<&bevy_pbr::prepass::PreviousGlobalTransform>, core::option::Option<&bevy_pbr::lightmap::Lightmap>, core::option::Option<&bevy_camera::primitives::Aabb>, &bevy_mesh::components::Mesh3d, core::option::Option<&bevy_mesh::components::MeshTag>, (bevy_ecs::query::fetch::Has<bevy_camera::visibility::NoFrustumCulling>, bevy_ecs::query::fetch::Has<bevy_light::NotShadowReceiver>, bevy_ecs::query::fetch::Has<bevy_light::TransmittedShadowReceiver>, bevy_ecs::query::fetch::Has<bevy_light::NotShadowCaster>, bevy_ecs::query::fetch::Has<bevy_render::batching::NoAutomaticBatching>, bevy_ecs::query::fetch::Has<bevy_camera::visibility::NoCpuCulling>), core::option::Option<&bevy_camera::visibility::range::VisibilityRange>, core::option::Option<&bevy_camera::visibility::render_layers::RenderLayers>)" filter="bevy_ecs::query::filter::Or<(bevy_ecs::query::filter::Changed<bevy_camera::visibility::ViewVisibility>, bevy_ecs::query::filter::Changed<bevy_transform::components::global_transform::GlobalTransform>, bevy_ecs::query::filter::Changed<bevy_pbr::prepass::PreviousGlobalTransform>, bevy_ecs::query::filter::Changed<bevy_pbr::lightmap::Lightmap>, bevy_ecs::query::filter::Changed<bevy_camera::primitives::Aabb>, bevy_ecs::query::filter::Changed<bevy_mesh::components::Mesh3d>, bevy_ecs::query::filter::Changed<bevy_mesh::components::MeshTag>, bevy_ecs::query::filter::Or<(bevy_ecs::query::filter::Changed<bevy_camera::visibility::NoFrustumCulling>, bevy_ecs::query::filter::Changed<bevy_light::NotShadowReceiver>, bevy_ecs::query::filter::Changed<bevy_light::TransmittedShadowReceiver>, bevy_ecs::query::filter::Changed<bevy_light::NotShadowCaster>, bevy_ecs::query::filter::Changed<bevy_render::batching::NoAutomaticBatching>, bevy_ecs::query::filter::Changed<bevy_camera::visibility::NoCpuCulling>)>, bevy_ecs::query::filter::Changed<bevy_camera::visibility::range::VisibilityRange>, bevy_ecs::query::filter::Changed<bevy_mesh::skinning::SkinnedMesh>)>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/query/state.rs,297,6428523360,16000
system{name="lod::scene::refresh::sync::chunk::drain::drain_chunk_lod_fulfill"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,778754023,1999
par_for_each{query="(bevy_ecs::entity::Entity, &bevy_camera::visibility::InheritedVisibility, &mut bevy_camera::visibility::ViewVisibility, core::option::Option<&bevy_camera::visibility::VisibilityClass>, core::option::Option<&bevy_camera::visibility::render_layers::RenderLayers>, core::option::Option<&bevy_camera::primitives::Aabb>, core::option::Option<&bevy_camera::primitives::Sphere>, &bevy_transform::components::global_transform::GlobalTransform, bevy_ecs::query::fetch::Has<bevy_camera::visibility::NoFrustumCulling>, bevy_ecs::query::fetch::Has<bevy_camera::visibility::range::VisibilityRange>)" filter="bevy_ecs::query::filter::Without<bevy_camera::visibility::NoCpuCulling>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/query/state.rs,297,25982946453,68388
