name,src_file,src_line,total_ns,counts
schedule{name=Update},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,27214757,1
system{name="lod::scene::refresh::levels::produce::produce_lod_refresh_levels<chico_vegetation_components::FlattenedComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<alloc::sync::Arc<chico_sbs_trees::palm_bush::PalmBush>>>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,17980166,1
system{name="lod::scene::refresh::sync::chunk::begin::begin_chunk_lod_fulfill<chico_vegetation_components::FlattenedComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<alloc::sync::Arc<chico_sbs_trees::jungle_storybook_tree::JungleStorybookTree>>>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1530291,1
system_commands{name="lod::scene::refresh::sync::cull::drain_lod_cull"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,54,1163637,1
system{name="lod::scene::refresh::sync::cull::drain_lod_cull"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1145417,1
system{name="lod::scene::bounds_patch::patch_scene_bounds<chico_vegetation_components::FlattenedComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<alloc::sync::Arc<chico_sbs_trees::palm_bush::PalmBush>>>, lod_avian::AvianLodSceneBoundsMarshaller>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1124792,1
system{name="lod::scene::refresh::sync::chunk::begin::begin_chunk_lod_fulfill<chico_vegetation_components::FlattenedComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<alloc::sync::Arc<chico_sbs_trees::storybook_tree::StorybookTree>>>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1016583,1
system{name="scene_ref::fulfill::fulfill_multi_scene_merge_roots"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,984750,1
queue_submit{count=11},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_core_pipeline-0.19.0/src/schedule.rs,236,794750,1
system{name="lod::scene::refresh::sync::chunk::drain::drain_chunk_lod_fulfill"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,554375,1
system{name="lod::scene::refresh::levels::produce::produce_lod_refresh_levels<chico_vegetation_components::FlattenedComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<alloc::sync::Arc<chico_sbs_trees::waialea_palm::WaialeaPalm>>>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,511583,1
