name,src_file,src_line,total_ns,counts
render thread,/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/pipelined_rendering.rs,151,106065466278,1
plugin build{plugin="bevy_audio::AudioPlugin"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,64976334,1
plugin build{plugin="bevy_winit::WinitPlugin"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,56319293,1
plugin build{plugin="bevy_core_pipeline::mip_generation::MipGenerationPlugin"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,24644750,1
schedule{name=Update},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,95280393808,5135
plugin build{plugin="bevy_render::RenderPlugin"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,11834086,1
plugin build{plugin="bevy_core_pipeline::tonemapping::TonemappingPlugin"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,566,8680958,1
system{name="lod::presentation::runtime::drain_lod_present<chico_forests::grove::ChicoGrove, chico_forests::index::ForestIndex, chico_vegetation_on_terrain_playground::forest::DurhamForestPresenter<'_, '_>, chico_forests::generation::ForestLodChan, bevy_ecs::query::filter::With<lod::scene::refresh::viewer::LodViewer>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,35258995810,5135
plugin finish{plugin="bevy_render::RenderPlugin"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/app.rs,278,6209458,1
schedule{name=Render},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,18574668346,5134
system{name="lod::gen::runtime::generate::drain_lod_generate<chico_forests::grove::ChicoGrove, chico_forests::index::ForestIndex, chico_forests::generation::ForestLodChan, bevy_ecs::query::filter::With<lod::scene::refresh::viewer::LodViewer>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,18061649753,5135
system{name="scene_ref::fulfill::fulfill_multi_scene_merge_roots"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,15085681411,5135
system{name="chico_vegetation_on_terrain_playground::generate_cells"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,10492927876,5135
asset loading{loader="bevy_shader::shader::ShaderLoader" asset="embedded://bevy_render/color_operations.wgsl"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_asset-0.19.0/src/server/mod.rs,1667,3994500,2
