name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
par_for_each{query="bevy_ecs::entity::Entity" filter="bevy_ecs::query::filter::Or<(bevy_ecs::query::filter::Changed<bevy_transform::components::transform::Transform>, bevy_ecs::query::filter::Changed<bevy_ecs::hierarchy::ChildOf>, bevy_ecs::query::filter::Added<bevy_transform::components::global_transform::GlobalTransform>)>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/query/state.rs,297,802132662,2.737591,103554,7746,83,168042,4379.773790
par_for_each{query="(bevy_ecs::change_detection::params::Ref<'_, bevy_transform::components::global_transform::GlobalTransform>, &mut bevy_pbr::prepass::PreviousGlobalTransform)" filter="bevy_ecs::query::filter::With<bevy_mesh::components::Mesh3d>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/query/state.rs,297,29442344,0.100484,16312,1804,41,59042,1109.300398
system{name="bevy_app::propagate::on_r_inserted<bevy_ui::ui_node::ComputedUiTargetCamera, (), bevy_ecs::hierarchy::ChildOf>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,19024775,0.064929,224001,84,41,11750,76.216267
system{name="bevy_app::propagate::on_r_inserted<bevy_ui::ui_node::ComputedUiRenderTargetInfo, (), bevy_ecs::hierarchy::ChildOf>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,17389553,0.059349,224014,77,41,9125,70.435695
system{name="lod::scene::refresh::cull_regions::produce::produce_lod_cull_regions<lod::scene::refresh::cull_regions::open_lattice::OpenLattice, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>, chico_sbs_trees_playground::vegetation_lod::VegetationCull>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,2349177,0.008017,1407,1669,708,21459,1185.352119
system{name="lod::scene::refresh::regions::produce::produce_lod_refresh_regions<lod::scene::refresh::regions::bullseye::Bullseye, bevy_ecs::query::filter::With<bevy_camera::camera::Camera>, chico_sbs_trees_playground::vegetation_lod::VegetationBullseye>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1913297,0.006530,1407,1359,167,38167,1640.950360
system_commands{name="bevy_app::propagate::update_source<bevy_ui::ui_node::ComputedUiRenderTargetInfo, (), bevy_ecs::hierarchy::ChildOf>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,54,1802918,0.006153,1407,1281,500,9584,358.055145
system{name="bevy_app::propagate::propagate_inherited<bevy_ui::ui_node::ComputedUiTargetCamera, (), bevy_ecs::hierarchy::ChildOf>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1640646,0.005599,1407,1166,458,18875,864.673912
multithreaded executor,/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/executor/multi_threaded.rs,395,2167624752,7.397866,1528642,1418,41,206417,2880.860921
system{name="bevy_app::propagate::propagate_inherited<bevy_ui::ui_node::ComputedUiRenderTargetInfo, (), bevy_ecs::hierarchy::ChildOf>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1496505,0.005107,1407,1063,417,6209,451.595395
