name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
render thread,/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/pipelined_rendering.rs,151,29057506500,99.170093,1,29057506500,29057506500,29057506500,0.000000
update,/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/sub_app.rs,568,28424861089,97.010943,1407,20202459,4947375,168321541,8918910.290127
sub app{name=RenderApp},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/pipelined_rendering.rs,168,27681038989,94.472360,1407,19673801,2223291,116168625,7925726.753672
schedule{name=RenderRecovery},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,27676793935,94.457872,1407,19670784,2220375,116166041,7925758.106263
system{name="bevy_render::run_render_schedule"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,27649743791,94.365552,1407,19651559,2204000,116148250,7926567.907556
schedule{name=Render},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,27643053599,94.342720,1407,19646804,2200584,116142458,7926703.837986
system{name="bevy_render::view::window::prepare_windows"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,21258882533,72.554242,1407,15109369,333,45631166,7316436.384314
sub app{name=RenderExtractApp},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/sub_app.rs,576,19053125702,65.026235,1407,13541667,290416,44376666,7960292.811505
main app,/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/sub_app.rs,571,9367453164,31.970093,1407,6657749,3638000,160910875,6703938.147270
schedule{name=Main},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,9364527739,31.960109,1407,6655670,3636417,160907042,6703856.466927
schedule{name=Update},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,3655182027,12.474737,1407,2597855,1734834,149168750,4096916.329104
system{name="bevy_render::renderer::render_system"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,3234067715,11.037520,1407,2298555,629625,7954875,698527.760969
main_render_schedule,/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/mod.rs,74,3232561322,11.032378,1407,2297484,627875,7952333,698471.111182
schedule{name=RenderGraph},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,3181515110,10.858163,1407,2261204,599084,7858375,696591.611473
system{name="bevy_core_pipeline::schedule::camera_driver"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,2478182677,8.457767,1407,1761323,9084,6137625,642883.771145
camera_schedule{camera="Camera 0 (328v0)"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_core_pipeline-0.19.0/src/schedule.rs,198,2455713517,8.381082,1406,1746595,367708,6103958,640876.104869
schedule{name=Core3d},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,2451051358,8.365170,1406,1743279,365375,6096459,640590.611521
schedule{name=RunFixedMainLoop},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,2327370272,7.943060,1407,1654136,49958,30999958,3685474.131360
system{name="bevy_time::fixed::run_fixed_main_schedule"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,2258007367,7.706332,1407,1604838,2125,30949541,3684895.394612
schedule{name=FixedMain},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,2251736024,7.684929,1838,1225101,372709,30732958,3218086.392560
