name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
schedule{name=Render},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,40415871958,43.453737,3978,10159847,1069830,112660291,5960906.616858
schedule{name=Update},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,37520156776,40.340365,3978,9431914,1673459,21246129701,337305829.555388
system{name="bevy_render::view::window::prepare_windows"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,33150603434,35.642373,3978,8333485,333,30157792,5636764.539896
system{name="chico_sbs_trees_playground::commands::show::sync_show"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,21145507283,22.734912,3978,5315612,458,21140464916,335183104.045823
render thread,/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/pipelined_rendering.rs,151,19168952186,20.609789,1,19168952186,19168952186,19168952186,0.000000
sub app{name=RenderExtractApp},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_app-0.19.0/src/sub_app.rs,576,13426147639,14.435326,3978,3375099,16666,63130916,4267566.961888
schedule{name=PostUpdate},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,11708202485,12.588251,3978,2943238,716084,8661749,1490883.958590
schedule{name=FixedPostUpdate},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,10092273939,10.850861,4402,2292656,72000,30881084,3314205.430142
multithreaded executor,/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/executor/multi_threaded.rs,395,6247230463,6.716804,4256963,1467,41,1415708,3475.291677
system{name="lod::scene::refresh::sync::chunk::begin::begin_chunk_lod_fulfill<chico_groves::orchard::vc::Orchard>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,4893261978,5.261065,3978,1230080,750,34868125,5878934.030380
system{name="bevy_world_serialization::world_asset_spawner::world_instance_spawner_system"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,3663031678,3.938364,3978,920822,2334,15389259,1103831.768698
system{name="bevy_camera::visibility::visibility_propagate_system"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,2969485249,3.192687,3978,746476,10416,4978375,590695.732768
system_commands{name="lod::scene::refresh::sync::chunk::drain::drain_chunk_lod_fulfill"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,54,2357083881,2.534254,3977,592678,41,19340023,1032239.975600
queue_submit{count=11},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_core_pipeline-0.19.0/src/schedule.rs,236,1675771791,1.801731,3974,421683,100833,1427125,139473.022696
schedule{name=ExtractSchedule},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,1615811594,1.737264,3978,406186,230709,3200791,102902.659567
system{name="avian3d::physics_transform::transform_to_position"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1422422236,1.529339,4402,323130,125,1451458,113584.045869
par_for_each{query="&mut bevy_camera::visibility::ViewVisibility" filter="bevy_ecs::query::filter::Without<bevy_camera::visibility::NoCpuCulling>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/query/state.rs,297,1327698728,1.427495,212801,6239,41,121833,8730.212647
system{name="bevy_pbr::render::light::specialize_shadows"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,1323150126,1.422605,3978,332616,1500,5178625,675144.447063
schedule{name=Core3d},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,954044803,1.025756,3977,239890,155292,1161503,536971.981888
schedule{name=PreUpdate},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,848624843,0.912412,3978,213329,99129,13692792,501394.765151
system{name="bevy_camera::visibility::check_visibility_cpu_culling"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,729060781,0.783861,3978,183273,12250,684832,780623.726097
schedule{name=SpawnScene},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,716447929,0.770300,3978,180102,7582,609833,1635504.337437
schedule{name=SubstepSchedule},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,709212928,0.762521,26412,26851,16792,211494,9152.831747
system{name="bevy_transform::systems::parallel::propagate_parent_transforms"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,642821167,0.691139,8381,76699,1167,489041,366657.906275
system{name="bevy_world_serialization::world_asset_spawner::world_instance_spawner"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,627522323,0.674690,3978,157748,500,480208,124270.696086
system{name="lod::scene::refresh::sync::chunk::begin::begin_chunk_lod_fulfill<chico_vegetation_components::FlattenedComponentsOnly<chico_vegetation_components::placed_vegetation::PlacedVegetation<chico_sbs_trees::storybook_tree::StorybookTree>>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,606792516,0.652402,3978,152537,1084,1395500,204135.126653
system{name="lod::scene::refresh::cull_regions::markers::sync_nested_refresh_allowed"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,600427117,0.645558,3978,150936,2458,28820542,987773.065061
system{name="bevy_render::batching::gpu_preprocessing::write_batched_instance_buffers<bevy_pbr::render::mesh::MeshPipeline>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,599272894,0.644317,3978,150646,12250,976417,177101.137084
system{name="avian3d::collision::collider::collider_transform::plugin::propagate_collider_transforms"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,598071688,0.643026,4402,135863,375,1285292,2781541.874696
RenderContextState::apply{system=bevy_pbr::cluster::gpu::cluster_on_gpu},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,581324743,0.625020,3977,146171,208,747625,23821.190185
system{name="bevy_transform::systems::mark_dirty_trees"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,577515549,0.620925,8381,68907,13830,1333000,1770639.540083
system{name="bevy_pbr::cluster::gpu::prepare_clusters_for_gpu_clustering"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,548549113,0.589781,3978,137895,106167,717958,29144.725184
RenderContextState::apply{system=bevy_pbr::render::light::per_view_shadow_pass<false>},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,542542657,0.583323,3977,136420,87750,1084000,28098.419957
system{name="bevy_light::check_dir_light_mesh_visibility"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,518822685,0.557820,3978,130422,6500,470916,145215.590710
write_current_input_buffers,/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/batching/gpu_preprocessing.rs,2355,483137211,0.519452,3978,121452,208,739666,138595.214273
schedule{name=PhysicsSchedule},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,479312433,0.515340,4402,108885,65330,959208,393998.994792
system{name="bevy_pbr::render::light::queue_shadows"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,476363371,0.512169,3978,119749,1000,1350000,156059.196017
schedule{name=RenderGraph},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,398887303,0.428870,3978,100273,29168,1698917,1250632.518648
system{name="bevy_ui::widget::text::text_system"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,395821493,0.425573,3978,99502,77542,2464000,38391.167352
system{name="bevy_pbr::material::extract_mesh_materials<chico_vegetation_shaders::chico_leaf_material::ChicoLeafMaterial>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,392649193,0.422163,3978,98705,458,623750,75376.209568
system{name="bevy_render::batching::gpu_preprocessing::write_indirect_parameters_buffers"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,388964474,0.418201,3978,97778,19749,395582,133378.834987
system{name="bevy_pbr::render::gpu_preprocess::prepare_preprocess_bind_groups"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,326382671,0.350915,3978,82046,37000,251000,16700.968353
system_commands{name="material_ref::fulfill::fulfill_material_ref_descendants<chico_sbs_trees_playground::chico_material_lib::ChicoMaterialLib<'_>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,54,311022023,0.334400,3978,78185,41,6709000,187051.646623
system{name="bevy_pbr::render::mesh::extract_meshes_for_gpu_building"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,310325036,0.333651,3978,78010,13375,591916,143650.449095
system{name="bevy_pbr::material::specialize_material_meshes"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,307654425,0.330779,3978,77338,1000,3452958,148217.210496
system{name="bevy_pbr::material::queue_material_meshes"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,288288950,0.309958,3978,72470,1000,2500291,117251.029796
system{name="material_ref::fulfill::invalidate_changed_material_ref_roots"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,284852859,0.306264,3978,71607,209,298084,60125.773593
system{name="material_ref::fulfill::restamp_material_ref_descendants_of_changed<chico_sbs_trees_playground::chico_material_lib::ChicoMaterialLib<'_>>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,277550945,0.298413,3978,69771,417,261833,59009.314277
system{name="bevy_pbr::render::mesh::collect_meshes_for_gpu_building"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,260496929,0.280077,3978,65484,10252,1723833,98574.917551
system{name="bevy_pbr::render::light::prepare_lights"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,259469991,0.278973,3978,65226,37375,281167,16635.580327
system{name="avian3d::collider_tree::update::update_moved_collider_aabbs<avian3d::collision::collider::parry::Collider>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,248348140,0.267015,4402,56417,458,217545,68963.520190
system_commands{name="bevy_light::check_dir_light_mesh_visibility"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,54,246514402,0.265044,3978,61969,6416,397833,37372.866759
system{name="lod::scene::refresh::cull_regions::markers::sync_cullable_roots_marker"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,243681683,0.261998,3978,61257,5708,366875,18919.783584
system{name="bevy_render::camera::extract_cameras"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,241842651,0.260021,3978,60795,917,377833,40831.452225
schedule{name=First},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,223136548,0.239909,3978,56092,23084,163124,18430.351239
RenderContextState::apply{system=bevy_core_pipeline::core_3d::main_opaque_pass_3d_node::main_opaque_pass_3d},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_render-0.19.0/src/renderer/render_context.rs,110,219402643,0.235894,3977,55167,84,1142250,21139.937657
system{name="bevy_pbr::render::gpu_preprocess::write_mesh_culling_data_buffer"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,214279824,0.230386,3978,53866,417,394792,55975.669125
system{name="bevy_app::hierarchy::validate_parent_has_component<bevy_transform::components::global_transform::GlobalTransform>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,206917856,0.222471,2515395,82,41,19125,83.751625
system{name="bevy_ui::widget::text::measure_text_system"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,205511707,0.220959,3978,51662,30750,469291,8440.667515
system{name="avian3d::collision::collider::collider_hierarchy::plugin::on_collider_body_changed"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,204070022,0.219409,2563042,79,41,19625,86.936316
schedule{name=Last},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/schedule/schedule.rs,562,200185197,0.215232,3978,50323,20708,332791,16183.639168
system{name="bevy_app::hierarchy::validate_parent_has_component<bevy_camera::visibility::InheritedVisibility>"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,197719835,0.212581,2515385,78,41,23000,87.511204
system{name="<avian3d::ancestor_marker::AncestorMarkerPlugin<avian3d::collision::collider::backend::ColliderMarker> as bevy_app::plugin::Plugin>::build::{{closure}}"},/Users/l-monninger/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bevy_ecs-0.19.0/src/system/function_system.rs,52,196286608,0.211041,2562059,76,41,31042,90.212687
